,artist_id,artists_name,track_id,song_name,album_name,album_type,release_date,popularity,danceability,energy,key,loudness,instrumentalness,liveness,acousticness,tempo,mode,valence,duration_ms,time_signatures
256,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,6JEntXLt4z98CcDtIH9sU7,Animals - Extended,Animals (Extended),single,2013-01-01,56,0.677,0.866,1,-6.403,0.662,0.412,0.00165,128.005,1,0.0386,303827,4
257,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,7pWK1kMgHy5lNNiIfuRbkP,Used To Love (with Dean Lewis),Used To Love (with Dean Lewis),single,2019-10-31,59,0.651,0.693,4,-4.722,0.0,0.335,0.458,118.97,1,0.392,236765,4
258,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,5aXTfpNOqLj35ydEiLio67,Follow,Follow,single,2022-03-25,61,0.588,0.78,11,-6.102,0.193,0.0728,0.0333,127.085,0,0.201,221220,4
259,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,3ukWpmRHvpuDATCJkgLEkF,Virus (How About Now),Virus (How About Now),single,2014-10-27,48,0.595,0.86,5,-5.366,0.598,0.155,0.000762,127.992,0,0.0399,273765,4
260,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,6AE0G24YXnDyEgE4L0efpB,Tremor - Sensation 2014 Anthem,Gold Skies,single,2014-07-01,55,0.631,0.939,6,-4.21,0.747,0.955,0.000351,127.992,0,0.452,294467,4
261,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,7cmpWAZsamIlIiyU1aMGZD,Quantum,Quantum,single,2022-04-08,50,0.627,0.902,6,-5.149,0.952,0.0997,0.0105,128.021,0,0.135,178594,4
262,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,4ut5G4rgB1ClpMTMfjoIuy,High On Life (feat. Bonn),High On Life (feat. Bonn),single,2018-07-29,67,0.414,0.486,6,-6.431,0.0,0.111,0.0129,128.038,0,0.368,230762,4
263,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,6GLzN6o2fkOupy8e1vGzwp,Virus (How About Now) - Radio Edit,Virus (How About Now) [Radio Edit],single,2014-10-27,51,0.5,0.861,5,-4.834,0.479,0.791,0.00104,128.004,0,0.0725,199427,4
264,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,4xFcQGVBVakReaL0OOJiP6,Follow,Sentio,album,2022-04-29,53,0.588,0.78,11,-6.102,0.193,0.0728,0.0333,127.085,0,0.201,221220,4
265,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,3krdgrUkow0lWczI0S80ga,Quantum,Sentio,album,2022-04-29,48,0.627,0.902,6,-5.149,0.952,0.0997,0.0105,128.021,0,0.135,178594,4
266,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,2WW3PfGHh0aA2xCAyK6X1J,Poison,Poison,single,2015-11-02,46,0.502,0.756,7,-6.118,0.769,0.377,0.00429,128.125,0,0.062,248447,4
267,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,44ib3nlda2rBy0qmMUelnd,Limitless,Sentio,album,2022-04-29,47,0.601,0.83,1,-5.122,0.733,0.0713,0.0882,126.011,1,0.311,146682,4
268,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,3nc420PXjTdBV5TN0gCFkS,Ocean (feat. Khalid),Ocean (feat. Khalid),single,2018-06-15,64,0.506,0.693,0,-7.265,9.58e-05,0.0891,0.584,139.912,0,0.221,216420,4
269,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,6wnzt59p7i8cAyuWl1avwr,If We’ll Ever Be Remembered,If We’ll Ever Be Remembered,single,2022-04-29,52,0.502,0.554,10,-5.788,0.0,0.62,0.0353,125.786,1,0.512,210506,4
270,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,5EwwwdsQfKI8ZnFG93j5Zu,Forever,Forever,single,2017-10-20,52,0.45,0.898,8,-3.604,0.0616,0.166,0.0277,127.983,0,0.22,218437,4
271,12Zk1DFhCbHY6v3xep2ZjI,070 Shake,6IqVq76K6UuJdYwZFgXosQ,Cocoon - Martin Garrix & Space Ducks Remix,Cocoon (Martin Garrix & Space Ducks Remix),single,2023-02-10,59,0.864,0.452,2,-7.896,0.293,0.111,0.0031,127.002,1,0.223,202205,4
272,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,7MA8T4pKN6VeBIEGE9hggN,Limitless,Limitless,single,2022-04-01,48,0.603,0.832,1,-5.089,0.732,0.0713,0.0867,126.012,1,0.26,146682,4
273,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,5Qw6359qWB9JdwIXYS0lxj,Project T - Martin Garrix Remix,Project T (Martin Garrix Remix),single,2013-10-14,36,0.561,0.725,9,-7.212,0.857,0.0872,0.00358,127.993,0,0.117,312197,4
274,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,4cBSVGEHvZCPGKq2UnB26P,Access,BYLAW EP,single,2018-10-19,36,0.726,0.752,7,-7.401,0.145,0.201,0.0529,128.035,0,0.174,195454,4
275,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,7Feaw9WAEREY0DUOSXJLOM,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),single,2019-04-25,70,0.661,0.723,5,-6.976,1.23e-05,0.14,0.179,113.778,0,0.316,163805,4
276,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,0g5S3hPuTNFWRq2CbpXy9F,Animals - Victor Niglio & Martin Garrix Festival Trap Mix,Animals,single,2013-01-01,36,0.42,0.873,1,-4.326,0.827,0.0349,0.00429,139.931,1,0.344,198480,4
277,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,6LHXb1sGs72iTmpSr0603b,Something,Something,single,2022-07-29,57,0.556,0.939,11,-5.99,0.915,0.121,0.00245,127.992,1,0.152,163125,4
